iter	RMSE
157	7.906752648
158	7.906519898
159	7.906293233
160	7.906072502
161	7.905849158
162	7.905646941
163	7.905431379
164	7.905253349
165	7.905076844
166	7.904847439
167	7.904638327
168	7.904439626
169	7.904206446
170	7.904001545
171	7.903789258
172	7.903585889
173	7.903384077
174	7.903188651
175	7.903010756
176	7.902834334
177	7.902623177
178	7.902437503
179	7.902231085
180	7.902065087
181	7.901898364
182	7.90168121
183	7.901479412
184	7.901279308
185	7.901080767
186	7.90087251
187	7.900690421
188	7.900449724
189	7.900229548
190	7.900025578
191	7.899821701
192	7.899636789
193	7.899460836
194	7.899271454
195	7.899110827
196	7.898906808
197	7.898694114
198	7.89850922
199	7.898298843
200	7.898098679
201	7.897888312
202	7.897685165
203	7.897509115
204	7.897302297
205	7.897103297
206	7.896948178
207	7.896820008
208	7.896656507
209	7.896480606
210	7.89632873
211	7.89616104
212	7.895974348
213	7.895795747
214	7.895576776
215	7.895399948
216	7.895215815
217	7.895063031
218	7.894882279
219	7.894708134
220	7.894560593
221	7.894393354
222	7.894206056
223	7.893989985
224	7.893809857
225	7.89364621
226	7.893456486
227	7.893264541
228	7.893057046
229	7.892895643
230	7.892717636
231	7.89252751
232	7.892342488
233	7.892143258
234	7.891962056
235	7.891763552
236	7.891568415
237	7.891353291
238	7.891134746
239	7.890937753
240	7.890768629
241	7.890592485
242	7.890410463
243	7.890220645
244	7.890059843
245	7.889884208
246	7.889721105
247	7.889577737
248	7.889406107
249	7.889253491
250	7.889069265
251	7.888881656
252	7.888689463
253	7.888489463
254	7.888300869
255	7.888109732
256	7.887921485
257	7.887766055
258	7.887586615
259	7.887405437
260	7.887208985
261	7.887015537
262	7.886841552
263	7.8866851
264	7.886479685
265	7.886298277
266	7.886121437
267	7.885972105
268	7.885801154
269	7.885653817
270	7.885460256
271	7.885308121
272	7.885146296
273	7.884979525
274	7.884828564
275	7.884649799
276	7.884468605
277	7.88428859
278	7.884143052
279	7.883981273
280	7.883830143
281	7.883645333
282	7.883451956
283	7.883281144
284	7.883139639
285	7.882998513
286	7.882803852
287	7.882648814
288	7.882455043
289	7.88231345
290	7.882152724
291	7.88197532
292	7.881824364
293	7.881637731
294	7.881440542
295	7.881276206
296	7.881092848
297	7.880938188
298	7.880793788
299	7.880611935
300	7.880415926
301	7.880228801
302	7.880047683
303	7.879887797
304	7.879711261
305	7.879522968
306	7.8793382
307	7.879143879
308	7.878980665
309	7.878799707
310	7.878636922
311	7.878471171
312	7.878313646
313	7.878138034
314	7.877955394
315	7.877787731
316	7.877619912
317	7.877456963
318	7.877276769
319	7.877096085
320	7.876936973
321	7.876753423
322	7.876556711
323	7.876404777
324	7.87627261
325	7.876117936
326	7.875977015
327	7.875800536
328	7.87562033
329	7.875438631
330	7.875294806
331	7.875130791
332	7.874956002
333	7.874791365
334	7.874644876
335	7.874504122
336	7.874384902
337	7.874206203
338	7.874036789
339	7.873862875
340	7.873683049
341	7.873475414
342	7.873292829
343	7.873110121
344	7.872974395
345	7.87281199
346	7.872668098
347	7.872510271
348	7.872328681
349	7.872160601
350	7.872016976
351	7.871842763
352	7.871667597
353	7.871477629
354	7.871300614
355	7.871182515
356	7.871001634
357	7.870849226
358	7.87071332
359	7.870567455
360	7.870415042
361	7.870256124
362	7.870073217
363	7.869897001
364	7.869703546
365	7.869542727
366	7.869398613
367	7.869273207
368	7.869128555
369	7.869024673
370	7.868845052
371	7.868705147
372	7.86855695
373	7.868369365
374	7.86822926
375	7.868071231
376	7.867913767
377	7.867751135
378	7.867611862
379	7.867461709
380	7.867314452
381	7.867166391
382	7.866977949
383	7.866812865
384	7.866638603
385	7.866473688
386	7.866283805
387	7.866129835
388	7.866001809
389	7.86584444
390	7.86567102
391	7.865480717
392	7.865322273
393	7.865181971
394	7.86501167
395	7.864847599
396	7.864696564
397	7.864568565
398	7.864408519
399	7.864245176
400	7.864120618
401	7.863952106
402	7.863769787
403	7.863633717
404	7.863440604
405	7.863275047
406	7.863146083
407	7.862977508
408	7.862808122
409	7.862648654
410	7.862503046
411	7.862343067
412	7.862231626
413	7.862087844
414	7.861892698
415	7.861718754
416	7.861554433
417	7.861424309
418	7.861297171
419	7.861133085
420	7.860964916
421	7.860804774
422	7.860655326
423	7.860510557
424	7.860341443
425	7.860175541
426	7.860003513
427	7.859818163
428	7.859648667
429	7.85948815
430	7.859326875
431	7.859153071
432	7.858996065
433	7.858830323
434	7.858688309
435	7.858543543
436	7.85837999
437	7.858227239
438	7.858032034
439	7.8578657
440	7.85770695
441	7.857566443
442	7.857430995
443	7.857267796
444	7.857111033
445	7.856965918
446	7.856822143
447	7.856660706
448	7.8564955
449	7.856336979
450	7.856162015
451	7.856019038
452	7.85586552
453	7.855732257
454	7.855565383
455	7.855429254
456	7.855289085
457	7.855131759
458	7.854971326
459	7.854829324
460	7.854651052
461	7.854511034
462	7.854346384
463	7.854179184
464	7.854039755
465	7.853899143
466	7.853717075
